品名,地區,判定係數
甘藍,永靖鄉,2.220446049250313e-16
包心白菜,永靖鄉,0.0
芹菜,永靖鄉,-inf
大心菜,永靖鄉,0.0
球莖甘藍,永靖鄉,0.0
花椰菜,溪湖鎮,0.0
冬瓜,溪湖鎮,0.0
苦瓜,溪湖鎮,0.9131381846547219
茄子,溪湖鎮,0.0
蕃茄,溪湖鎮,0.0
豌豆,溪湖鎮,0.0
敏豆,溪湖鎮,0.0
青花苔,溪湖鎮,0.0
百合,溪湖鎮,0.0
南瓜,溪湖鎮,0.0
虎豆,溪湖鎮,
甘藍,溪湖鎮,0.0
小白菜,溪湖鎮,0.9861649142224682
包心白菜,溪湖鎮,0.9321677787398767
青江白菜,溪湖鎮,0.0
蕹菜,溪湖鎮,0.0
芹菜,溪湖鎮,-2.220446049250313e-16
菠菜,溪湖鎮,0.0
萵苣菜,溪湖鎮,0.0
芥菜,溪湖鎮,0.9776980823947943
芥藍菜,溪湖鎮,0.9420448971010769
油菜,溪湖鎮,0.0
蘿蔔,溪湖鎮,0.0
胡蘿蔔,溪湖鎮,0.9406459328661102
洋蔥,溪湖鎮,0.9865372815938512
青蔥,溪湖鎮,0.0
韭菜,溪湖鎮,0.0
萵苣莖,溪湖鎮,0.0
大心菜,溪湖鎮,0.0
球莖甘藍,溪湖鎮,0.0
芽菜類,溪湖鎮,
花椰菜,西螺鎮,0.8732985813142471
胡瓜,西螺鎮,0.0
花胡瓜,西螺鎮,0.0
冬瓜,西螺鎮,0.0
絲瓜,西螺鎮,0.9744510592463809
苦瓜,西螺鎮,0.943608133109281
扁蒲,西螺鎮,0.851858037578288
茄子,西螺鎮,1.1102230246251565e-16
蕃茄,西螺鎮,0.0
甜椒,西螺鎮,0.0
豌豆,西螺鎮,-2.220446049250313e-16
菜豆,西螺鎮,0.9444290251950536
敏豆,西螺鎮,0.0
青花苔,西螺鎮,0.0
辣椒,西螺鎮,0.0
玉米,西螺鎮,0.0
甘藍,西螺鎮,0.0
小白菜,西螺鎮,0.0
包心白菜,西螺鎮,0.0
青江白菜,西螺鎮,0.0
蕹菜,西螺鎮,0.0
芹菜,西螺鎮,0.8435267619046356
菠菜,西螺鎮,0.0
萵苣菜,西螺鎮,0.8773721578594341
芥菜,西螺鎮,0.0
芥藍菜,西螺鎮,0.0
茼蒿,西螺鎮,2.220446049250313e-16
莧菜,西螺鎮,0.0
油菜,西螺鎮,0.9370170856704587
茴香,西螺鎮,0.9548631013620481
其他蔬菜,西螺鎮,0.9138466222902623
蘿蔔,西螺鎮,0.9416246139606084
胡蘿蔔,西螺鎮,0.0
馬鈴薯,西螺鎮,0.0
洋蔥,西螺鎮,0.0
青蔥,西螺鎮,0.0
韭菜,西螺鎮,
大蒜,西螺鎮,0.0
芋,西螺鎮,0.9967246014076517
甘薯,西螺鎮,0.0
薑,西螺鎮,0.9957447346154431
大心菜,西螺鎮,0.0
球莖甘藍,西螺鎮,0.0
草石蠶,台北二,0.0
西瓜,台北二,0.968736239542052
蠶豆,台北二,
菊芋,台北二,0.0
菾菜,台北二,0.0
花豆,台北一,0.0
人參葉,台北一,0.9666211604095563
百合,台北一,0.0
鵲豆,台北二,0.0
