查詢交易日期,查詢市場,日期,市場,產品,上價,中價,下價,平均價(元/公斤),跟前一交易日比較%,交易量(公斤),跟前一交易日比較%
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,W1 洋香瓜 網狀紅肉 ,32.7,20.1,7.6,20.1, - 33,"1,370", +999
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,W2 洋香瓜 網狀綠肉 ,52.6,22.4,15.9,27.2, - 43,346, - 55
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,W9 洋香瓜 進口 ,"2,958.3",569.5,333.3,"1,000.0", + 56,32, +100
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,X69 蘋果 富士進口 ,93.2,28.0,20.4,39.6, - 11,"25,088", + 73
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Y0 桃子 其他 ,20.0,18.1,15.0,17.9, - 68,21, - 82
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Y19 桃子 水蜜桃進口 ,220.0,167.3,160.0,176.4, + 16,110, - 75
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Y39 桃子 甜桃進口 ,166.7,117.7,66.7,117.3, - 30,"1,296", +189
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Y5 桃子 福壽桃 ,52.4,32.9,25.0,35.2, + 11,126, - 36
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Y9 桃子 進口 ,377.7,101.6,50.0,146.5, + 34,"1,839", + 23
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,11 椰子  ,19.0,16.8,13.8,16.6, -  3,"1,692", - 34
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,42 楊梅  ,30.0,26.5,23.0,26.5, - 11,192, - 14
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,459 草莓 進口 ,222.2,222.2,222.2,222.2,  -  ,45,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,469 藍莓 進口 ,666.7,666.7,666.7,666.7, +106,3, - 92
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,50 百香果 其他 ,40.0,40.0,21.9,36.4, - 24,105, - 43
